날짜,기사 제목,언론사,URL,발행 시각,Elon Musk 언급 여부,Dogecoin/Bitcoin 언급 여부,기사 요약(1~2줄)
2021-04-10,비트코인 6만달러 재돌파...테슬라 결제 지원 영향 지속,연합뉴스,https://news.naver.com/main/read.nhn?oid=001&aid=0004521007,15:30,O,Bitcoin,주말 사이 비트코인 가격이 상승세를 유지하며 6만 달러 고지를 다시 밟아 추가 랠리 기대감을 높임.
2021-04-11,머스크 밈(Meme) 사랑에 도지코인 다시 꿈틀,아시아경제,https://news.naver.com/main/read.nhn?oid=277&aid=0004521008,10:15,O,Dogecoin,SNS 상에서 도지코인 밈이 다시 유행하며 머스크의 추가 언급을 기대하는 개인 투자자들의 매수세가 유입됨.
2021-04-12,비트코인 사상 최고가 앞두고 숨고르기…테슬라 수익도 껑충,한국경제,https://news.naver.com/main/read.nhn?oid=015&aid=0004521009,09:10,O,Bitcoin,비트코인이 역대 최고가 경신을 눈앞에 둔 가운데 테슬라가 보유한 비트코인 평가 차익이 자동차 판매 수익을 넘어설 것이란 전망.
2021-04-13,"월가 ""비트코인 머스크 효과 넘어 기관 자금 유입 본격화""",매일경제,https://news.naver.com/main/read.nhn?oid=009&aid=0004521010,14:25,O,Bitcoin,일론 머스크의 홍보 효과를 넘어 전통 금융권 기관 투자자들의 본격적인 가상화폐 시장 진입이 가격 상승을 이끈다는 분석.
2021-04-14,코인베이스 상장 기대감에 비트코인 최고가 경신,SBS비즈,https://news.naver.com/main/read.nhn?oid=374&aid=0004521011,09:15,X,Bitcoin,미국 최대 가상화폐 거래소 코인베이스의 나스닥 상장을 앞두고 비트코인이 6만 4천 달러를 넘어서며 최고가 경신.
2021-04-15,"""달을 향해 짖는 도지"" 머스크 트윗에 도지코인 70% 폭등",조선비즈,https://news.naver.com/main/read.nhn?oid=366&aid=0004521012,08:45,O,Dogecoin,일론 머스크의 스페인 화가 미로 패러디 트윗 한 줄에 도지코인 가격이 폭등하며 알트코인 장세를 주도.
2021-04-16,"""도지코인 시총 500억 달러 돌파""...머스크 입김에 시장 과열 우려",서울경제,https://news.naver.com/main/read.nhn?oid=011&aid=0004521013,11:00,O,Dogecoin,"도지코인 시가총액이 하루아침에 포드, 크래프트하인즈 등 주요 기업 가치를 넘어서자 시장 과열 경고음 발생."
2021-04-17,머스크 효과에 도지코인 100% 넘게 폭등…알트코인 광풍 이끈다,연합뉴스,https://news.naver.com/main/read.nhn?oid=001&aid=0004521014,12:30,O,Dogecoin,주말 동안 도지코인 가격이 전일 대비 2배 이상 치솟으며 암호화폐 거래소 서버가 한때 마비되는 사태 발생.
2021-04-18,비트코인 주말 사이 15% 폭락…도지코인으로 수급 쏠렸나,머니투데이,https://news.naver.com/main/read.nhn?oid=008&aid=0004521015,16:10,X,Bitcoin/Dogecoin,미 재무부의 돈세탁 조사 루머와 중국 신장 지역 채굴장 정전 사태가 겹치며 비트코인이 급락한 반면 도지코인은 방어력 과시.
2021-04-19,도지코인 광풍에 국내 거래소 거래대금 코스피 추월,파이낸셜뉴스,https://news.naver.com/main/read.nhn?oid=014&aid=0004521016,14:20,X,Dogecoin,도지코인 단타 투자 열기로 인해 업비트 등 국내 암호화폐 거래소의 일일 거래대금이 유가증권시장(코스피)을 훌쩍 넘김.
2021-04-20,'도지데이' 맞은 가상화폐 시장 머스크 추가 트윗 기대감 들썩,이데일리,https://news.naver.com/main/read.nhn?oid=018&aid=0004521017,10:05,O,Dogecoin,온라인 커뮤니티 레딧을 중심으로 4월 20일을 '도지데이'로 지정하고 1달러 펌핑 운동을 벌이며 머스크의 지원 사격을 기대함.
2021-04-21,머스크 침묵 속 도지데이 끝…도지코인 20% 폭락 거품 논란,한국경제,https://news.naver.com/main/read.nhn?oid=015&aid=0004521018,09:40,O,Dogecoin,기대했던 머스크의 트윗이 나오지 않고 차익 실현 매물이 쏟아지며 도지코인이 하루 만에 20% 이상 급락함.
2021-04-22,비트코인 5만5천 달러선 지루한 공방…테슬라 결제 지속 여부 촉각,매일경제,https://news.naver.com/main/read.nhn?oid=009&aid=0004521019,15:10,O,Bitcoin,가상화폐 시장 전반이 조정을 겪는 가운데 테슬라의 비트코인 정책 유지 여부가 향후 반등의 주요 변수로 떠오름.
2021-04-23,비트코인 5만달러 붕괴...바이든 증세안에 투자심리 위축,조선비즈,https://news.naver.com/main/read.nhn?oid=366&aid=0004521020,07:50,X,Bitcoin,미국 바이든 행정부의 자본이득세 최고 세율 인상 추진 소식에 위험자산 회피 심리가 커지며 비트코인이 5만 달러 아래로 추락.
2021-04-24,머스크의 테슬라 다음 주 실적 발표…비트코인 보유량 변화 있을까,서울경제,https://news.naver.com/main/read.nhn?oid=011&aid=0004521021,11:20,O,Bitcoin,테슬라의 1분기 어닝 서프라이즈 기대감 속에서 회사가 보유한 비트코인의 매각 또는 추가 매수 여부에 암호화폐 투자자들 촉각.
2021-04-25,비트코인 하락세 진정 국면…일론 머스크의 입에 다시 쏠리는 시선,아시아경제,https://news.naver.com/main/read.nhn?oid=277&aid=0004521022,14:40,O,Bitcoin,주말 동안 비트코인 낙폭이 진정된 가운데 암호화폐 시장의 향방을 결정할 머스크 등 유명 인사들의 행보에 관심 집중.
2021-04-26,비트코인 반등 시도 테슬라 1분기 실적 발표 앞두고 관망세,헤럴드경제,https://news.naver.com/main/read.nhn?oid=016&aid=0004521023,09:50,O,Bitcoin,테슬라 실적 발표를 몇 시간 앞두고 비트코인이 5만 3천 달러 선을 회복하며 투자자들이 테슬라의 코인 보유 현황 공개를 대기함.
2021-04-27,"테슬라 비트코인 매각 논란에 머스크 ""내 코인 안 팔았다"" 해명",SBS비즈,https://news.naver.com/main/read.nhn?oid=374&aid=0004521024,10:40,O,Bitcoin,테슬라가 1분기에 비트코인 일부를 매각해 수익을 낸 사실이 알려지자 머스크는 유동성 증명 목적일 뿐 개인 물량은 그대로라고 해명.
2021-04-28,"자칭 '도지파더' 머스크 ""5월 8일 SNL 출격""...도지코인 다시 반등",연합뉴스,https://news.naver.com/main/read.nhn?oid=001&aid=0004521025,15:10,O,Dogecoin,자신을 '도지코인의 아버지'로 칭한 머스크가 미국 유명 코미디쇼 SNL 호스트 출연을 예고하자 도지코인이 다시 급등세로 전환.
2021-04-29,머스크 SNL 예고에 도지코인 거래량 급증…비트코인은 조용한 횡보,한국경제,https://news.naver.com/main/read.nhn?oid=015&aid=0004521026,11:30,O,Bitcoin/Dogecoin,머스크의 SNL 발언 기대감에 수급이 도지코인으로 집중되면서 대장주 비트코인은 5만 4천 달러 부근에서 좁은 박스권 장세 연출.
2021-04-30,머스크 한마디에 또 출렁이는 도지코인 규제 목소리 커져,머니투데이,https://news.naver.com/main/read.nhn?oid=008&aid=0004521027,13:20,O,Dogecoin,특정인의 트윗 예고 하나에 가격이 크게 요동치는 암호화폐 시장의 취약성에 대해 각국 금융당국의 경고와 규제 필요성 대두.
2021-05-01,머스크 SNL 출연 앞두고 도지코인 투자자들 기대감 최고조,이데일리,https://news.naver.com/main/read.nhn?oid=018&aid=0004521028,10:00,O,Dogecoin,5월 8일로 다가온 SNL 방송에서 머스크가 콩트를 통해 도지코인을 띄울 것이라는 기대감에 전 세계 코인 커뮤니티가 들썩임.
2021-05-02,비트코인 5만7천 달러 회복…머스크 도지 띄우기 속 대장주 위엄 과시,파이낸셜뉴스,https://news.naver.com/main/read.nhn?oid=014&aid=0004521029,15:50,O,Bitcoin/Dogecoin,도지코인 이슈가 시장을 지배하는 가운데 비트코인이 슬금슬금 가격을 회복하며 5만 7천 달러를 넘어 시장 지배력을 유지.
2021-05-03,도지코인 0.4달러 재돌파...'도지파더' 효과 어디까지 가나,뉴스1,https://news.naver.com/main/read.nhn?oid=421&aid=0004521030,08:30,O,Dogecoin,머스크의 SNL 출연일이 코앞으로 다가오면서 도지코인이 다시 강력한 상승 랠리를 펼치며 시총 최상위권 재진입을 시도함.
